lon,lat,property_type,neighbourhood,basement_finished,has_garage,has_fireplace,building_count,walkout_basement,air_conditioning,lot_size,Assessed_value_2015,Assessed_value_2016,change
-113.5100843,53.54794002,2,QUEEN MARY PARK,0,0,0,0,0,0,90062.6,2894500,3258000,Increase
-113.5127971,53.54797806,2,QUEEN MARY PARK,0,0,0,0,0,0,32248.7,1216500,1340000,Increase
-113.5135001,53.54805955,2,QUEEN MARY PARK,0,0,0,0,0,0,9168.6,420500,451500,Increase
-113.514993,53.54798024,2,QUEEN MARY PARK,0,0,0,0,0,0,7728.5,364000,389000,Increase
-113.5160966,53.54798022,2,QUEEN MARY PARK,0,0,0,0,0,0,7757.6,365000,390500,Increase
-113.5178748,53.54798066,2,QUEEN MARY PARK,0,0,0,0,0,0,27040.1,1048000,1150500,Increase
-113.521672,53.5479667,5,QUEEN MARY PARK,0,0,0,0,0,0,5630.9,134500,137500,Increase
-113.5240025,53.54797825,4,QUEEN MARY PARK,0,0,0,0,0,0,39280.5,1627500,1904000,Increase
-113.6369944,53.54822629,5,MORIN INDUSTRIAL,0,0,0,0,0,0,84540.6,1514500,1587500,Increase
-113.6391477,53.54903705,5,WILSON INDUSTRIAL,0,0,0,0,0,0,40540.5,800000,841500,Increase
-113.6460235,53.54847801,6,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,19802.5,9000,9000,Decrease
-113.6489837,53.54847774,6,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,98866.8,45000,45000,Decrease
-113.6518255,53.54947451,5,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,36109.6,212500,220500,Increase
-113.4859234,53.54999525,4,MCCAULEY,0,0,0,0,0,0,4038.3,134000,177000,Increase
-113.4856846,53.54949999,2,MCCAULEY,0,0,0,0,0,0,4030.3,132000,149500,Increase
-113.4858307,53.54947591,2,MCCAULEY,0,0,0,0,0,0,4030.7,132000,149500,Increase
-113.4859769,53.54944958,2,MCCAULEY,0,0,0,0,0,0,4031,132000,149500,Increase
-113.4861959,53.54941233,2,MCCAULEY,0,0,0,0,0,0,8062.3,237500,273000,Increase
-113.4865085,53.54989667,4,MCCAULEY,0,0,0,0,0,0,4043.5,134500,228500,Increase
-113.4866687,53.54898303,2,MCCAULEY,0,0,0,0,0,0,67944.3,1436500,1726000,Increase
-113.4869991,53.54927649,4,MCCAULEY,0,0,0,0,0,0,4032.3,134000,228000,Increase
-113.4871452,53.54925016,4,MCCAULEY,0,0,0,0,0,0,4035.6,134000,228500,Increase
-113.4350475,53.5479773,3,MCCAULEY,0,0,0,0,0,0,7555,0,0,Decrease
-113.410877,53.54918187,3,GOLD BAR,0,0,0,0,0,0,2199.8,1000,1000,Decrease
-113.4074834,53.54996037,3,GOLD BAR,0,0,0,0,0,0,12987.8,5500,5500,Decrease
-113.4080104,53.54964847,3,GOLD BAR,0,0,0,0,0,0,75493.8,894000,894000,Decrease
-113.5029533,53.4975509,3,PLEASANTVIEW,0,0,0,0,0,0,1200,4000,4000,Decrease
-113.4319901,53.5496704,3,CAPILANO,0,0,0,0,0,0,2799.9,0,0,Decrease
-113.43199,53.54967,3,CAPILANO,0,0,0,0,0,0,2799.9,9500,9500,Decrease
-113.4320005,53.54895381,3,FULTON PLACE,0,0,0,0,0,0,2399.7,8000,8000,Decrease
-113.4335078,53.54967086,3,CAPILANO,0,0,0,0,0,0,2800.4,0,0,Decrease
-113.433508,53.5496709,3,CAPILANO,0,0,0,0,0,0,2800.4,9500,9500,Decrease
-113.4342132,53.5493751,3,CAPILANO,0,0,0,0,0,0,115,500,500,Decrease
-113.440915,53.54998877,3,FOREST HEIGHTS,0,0,0,0,0,0,150.7,500,500,Decrease
-113.5048055,53.64515051,3,CHAMBERY,0,0,0,0,0,0,16596.5,7500,7500,Decrease
-113.4141801,53.55240161,3,GOLD BAR,0,0,0,0,0,0,125.8,500,500,Decrease
-113.4165118,53.5526107,3,CAPILANO,0,0,0,0,0,0,179.7,500,500,Decrease
-113.4164519,53.55191849,3,GOLD BAR,0,0,0,0,0,0,116.9,500,500,Decrease
-113.6180808,53.55148097,5,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,5558,53000,54000,Increase
-113.6180814,53.55258624,5,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,9622,93000,96500,Increase
